Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
57,Friday May 31,boxscore,WSN,@,CIN,L,3,9,,24-33,4,9,Mahle,Corbin,,2:49,N,24358,0.45,-,
58,Saturday Jun 1,boxscore,WSN,@,CIN,W,5,2,,25-33,4,8,Rainey,Roark,Doolittle,2:59,D,27748,0.44,+,
59,Sunday Jun 2,boxscore,WSN,@,CIN,W,4,1,,26-33,4,7,Scherzer,Gray,Doolittle,3:07,D,22801,0.49,++,
60,Tuesday Jun 4,boxscore,WSN,,CHW,W,9,5,,27-33,4,6.5,Strasburg,López,Doolittle,3:33,N,32513,0.55,+++,
61,Wednesday Jun 5,boxscore,WSN,,CHW,W-wo,6,4,,28-33,4,6.5,Doolittle,Colomé,,3:07,D,28910,0.57,++++,
62,Thursday Jun 6,boxscore,WSN,@,SDP,L,4,5,,28-34,4,7,Lucchesi,Corbin,Yates,3:07,N,19908,0.71,-,
63,Friday Jun 7,boxscore,WSN,@,SDP,L-wo,4,5,,28-35,4,8,Warren,Doolittle,,2:46,N,21645,0.63,--,
64,Saturday Jun 8,boxscore,WSN,@,SDP,W,4,1,,29-35,4,8,Scherzer,Lauer,Doolittle,2:39,N,30319,0.52,+,
65,Sunday Jun 9,boxscore,WSN,@,SDP,W,5,2,,30-35,4,7,Strasburg,Stammen,,2:56,D,30518,0.56,++,
66,Monday Jun 10,boxscore,WSN,@,CHW,W,12,1,,31-35,4,6,Sánchez,Despaigne,,3:06,N,16305,0.59,+++,
67,Tuesday Jun 11,boxscore,WSN,@,CHW,L,5,7,,31-36,4,7,Marshall,Corbin,Colomé,3:19,N,16790,0.66,-,
68,Thursday Jun 13,boxscore,WSN,,ARI,L,0,5,,31-37,4,8.5,Greinke,Fedde,,2:15,N,24909,0.61,--,
69,Friday Jun 14,boxscore,WSN,,ARI,W,7,3,,32-37,4,8.5,Scherzer,Ray,,2:57,N,29853,0.53,+,
70,Saturday Jun 15,boxscore,WSN,,ARI,L,3,10,,32-38,4,8.5,Hirano,Strasburg,,3:30,D,38044,0.59,-,
71,Sunday Jun 16,boxscore,WSN,,ARI,W,15,5,,33-38,4,8.5,Sánchez,Bradley,,3:14,D,29032,0.52,+,
72,Wednesday Jun 19 (1),boxscore,WSN,,PHI,W,6,2,,34-38,3,8,Corbin,Eflin,,2:46,D,17961,0.65,++,2019-06-17 (Rain)
73,Wednesday Jun 19 (2),boxscore,WSN,,PHI,W,2,0,,35-38,3,8,Scherzer,Arrieta,Doolittle,3:05,N,24220,0.73,+++,
74,Thursday Jun 20,boxscore,WSN,,PHI,W,7,4,,36-38,3,7.5,Guerra,Pivetta,Doolittle,3:05,N,31329,0.83,++++,
75,Friday Jun 21,boxscore,WSN,,ATL,W,4,3,,37-38,3,6.5,Strasburg,Keuchel,Suero,3:01,N,34212,1.01,+++++,
76,Saturday Jun 22,boxscore,WSN,,ATL,L,9,13,,37-39,3,7.5,Minter,Ross,,3:42,N,37492,1.17,-,
77,Sunday Jun 23,boxscore,WSN,,ATL,L,3,4,10,37-40,3,8.5,Minter,Rainey,Jackson,3:09,D,34256,1.02,--,
78,Tuesday Jun 25,boxscore,WSN,@,MIA,W,6,1,,38-40,3,8,Scherzer,Richards,,2:27,N,7327,0.74,+,
79,Wednesday Jun 26,boxscore,WSN,@,MIA,W,7,5,,39-40,3,8,Corbin,Gallen,Doolittle,3:19,N,6276,0.81,++,
80,Thursday Jun 27,boxscore,WSN,@,MIA,W,8,5,,40-40,3,7,Strasburg,Alcántara,,2:51,N,7751,0.86,+++,
81,Friday Jun 28,boxscore,WSN,@,DET,W,3,1,,41-40,3,7,Sánchez,Norris,Rodney,3:04,N,20877,0.94,++++,
82,Saturday Jun 29,boxscore,WSN,@,DET,L,5,7,,41-41,3,8,Alcántara,Rainey,Greene,3:13,D,27716,1,-,
83,Sunday Jun 30,boxscore,WSN,@,DET,W,2,1,,42-41,3,7,Scherzer,Jiménez,Doolittle,2:53,D,21052,0.88,+,
84,Tuesday Jul 2,boxscore,WSN,,MIA,W-wo,3,2,,43-41,3,6,Doolittle,Quijada,,3:01,N,21361,1,++,
85,Wednesday Jul 3,boxscore,WSN,,MIA,W,3,1,,44-41,3,6,Strasburg,Alcántara,Doolittle,3:07,N,25483,1.1,+++,
86,Thursday Jul 4,boxscore,WSN,,MIA,W,5,2,,45-41,2,6,Sánchez,Hernández,Rodney,3:17,D,27350,1.19,++++,
87,Friday Jul 5,boxscore,WSN,,KCR,L,4,7,11,45-42,3,7,Flynn,Venters,Peralta,4:40,N,25213,1.18,-,
88,Saturday Jul 6,boxscore,WSN,,KCR,W,6,0,,46-42,2,6,Scherzer,Sparkman,,2:44,D,27863,1.13,+,
89,Sunday Jul 7,boxscore,WSN,,KCR,W,5,2,,47-42,2,6,Doolittle,Diekman,,2:37,D,21873,1.28,++,
90,Friday Jul 12,boxscore,WSN,@,PHI,W,4,0,,48-42,2,6,Strasburg,Pivetta,,3:15,N,42318,1.51,+++,
91,Saturday Jul 13,boxscore,WSN,@,PHI,W,4,3,,49-42,2,6,Suero,Neris,Doolittle,3:43,N,43732,1.49,++++,
92,Sunday Jul 14,boxscore,WSN,@,PHI,L-wo,3,4,,49-43,2,7,Neris,Grace,,2:54,D,43075,1.5,-,
93,Tuesday Jul 16,boxscore,WSN,@,BAL,W,8,1,,50-43,2,6.5,Voth,Wojciechowski,,3:10,N,23362,1.22,+,
94,Wednesday Jul 17,boxscore,WSN,@,BAL,L,2,9,,50-44,2,6.5,Ynoa,Suero,Givens,2:51,N,20786,1.27,-,
95,Thursday Jul 18,boxscore,WSN,@,ATL,W,13,4,,51-44,2,5.5,Strasburg,Wright,,3:44,N,39363,1.64,+,
96,Friday Jul 19,boxscore,WSN,@,ATL,L-wo,3,4,,51-45,2,6.5,Jackson,Rodney,,3:30,N,39344,1.79,-,
