Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
74,Thursday Jun 22,boxscore,WSN,,ARI,L,3,5,,28-46,5,20,Henry,Irvin,McGough,2:33,D,13251,0.05,-,2023-06-08 (Air Quality)
75,Friday Jun 23,boxscore,WSN,@,SDP,L,3,13,,28-47,5,20,Musgrove,Corbin,,2:29,N,42510,0.04,--,
76,Saturday Jun 24,boxscore,WSN,@,SDP,W,2,0,,29-47,5,20,Gray,Waldron,Harvey,2:45,N,43364,0.04,+,
77,Sunday Jun 25,boxscore,WSN,@,SDP,W,8,3,,30-47,5,20,Gore,Lugo,,3:09,D,41503,0.04,++,
78,Monday Jun 26,boxscore,WSN,@,SEA,L,4,8,,30-48,5,21,Castillo,Abbott,Sewald,2:42,N,23329,0.05,-,
79,Tuesday Jun 27,boxscore,WSN,@,SEA,W,7,4,11,31-48,5,21,Weems,Gott,,3:28,N,22671,0.03,+,
80,Wednesday Jun 28,boxscore,WSN,@,SEA,W,4,1,,32-48,5,21,Corbin,Gilbert,Harvey,2:25,D,26437,0.04,++,
81,Friday Jun 30,boxscore,WSN,@,PHI,W,2,1,,33-48,5,21,Gray,Sánchez,Harvey,2:33,N,44261,0.06,+++,
82,Saturday Jul 1,boxscore,WSN,@,PHI,L,4,19,,33-49,5,22,Wheeler,Gore,,2:43,D,42784,0.07,-,
83,Sunday Jul 2,boxscore,WSN,@,PHI,W,5,4,,34-49,5,22,Williams,Suárez,Harvey,2:31,D,41531,0.06,+,
84,Monday Jul 3,boxscore,WSN,,CIN,L,2,3,,34-50,5,23,Weaver,Irvin,Díaz,2:37,N,36290,0.08,-,
85,Tuesday Jul 4,boxscore,WSN,,CIN,L,4,8,,34-51,5,23,Kennedy,Corbin,Sims,3:01,D,30434,0.05,--,
86,Wednesday Jul 5,boxscore,WSN,,CIN,L,2,9,,34-52,5,24,Ashcraft,Gray,,3:09,N,13252,0.04,---,
87,Thursday Jul 6,boxscore,WSN,,CIN,L,4,5,10,34-53,5,24.5,Santillan,Harvey,Díaz,3:13,D,10064,0.03,----,
88,Friday Jul 7,boxscore,WSN,,TEX,L,2,7,,34-54,5,25.5,Bradford,Williams,,2:27,N,19322,0.02,-----,
89,Saturday Jul 8,boxscore,WSN,,TEX,W,8,3,,35-54,5,25.5,Irvin,Heaney,,2:12,D,29402,0.01,+,
90,Sunday Jul 9,boxscore,WSN,,TEX,W,7,2,,36-54,5,24.5,Corbin,Dunning,,2:25,D,17547,0.01,++,
91,Friday Jul 14,boxscore,WSN,@,STL,W,7,5,10,37-54,5,24.5,Finnegan,Hicks,Harvey,2:43,D,42042,0.02,+++,
92,Saturday Jul 15,boxscore,WSN,@,STL,L,6,9,,37-55,5,24.5,Hudson,Willingham,,2:58,N,41900,0.02,-,
93,Sunday Jul 16,boxscore,WSN,@,STL,L,4,8,,37-56,5,24.5,Flaherty,Gray,,2:46,D,42626,0.01,--,
94,Monday Jul 17,boxscore,WSN,@,CHC,W,7,5,,38-56,5,24,Gore,Smyly,Finnegan,2:44,N,29383,0.01,+,
95,Tuesday Jul 18,boxscore,WSN,@,CHC,L,3,17,,38-57,5,24,Fulmer,Willingham,,2:50,N,28636,0.02,-,
96,Wednesday Jul 19,boxscore,WSN,@,CHC,L,3,8,,38-58,5,24,Merryweather,Thompson,,2:55,N,28197,0.01,--,
97,Friday Jul 21,boxscore,WSN,,SFG,W,5,3,,39-58,5,24.5,Irvin,Wood,Finnegan,2:24,N,26062,0.01,+,
98,Saturday Jul 22,boxscore,WSN,,SFG,W,10,1,,40-58,5,23.5,Gray,Webb,,2:24,N,32504,0.01,++,
99,Sunday Jul 23,boxscore,WSN,,SFG,W,6,1,,41-58,5,23.5,Gore,Alexander,,2:28,D,23404,0.01,+++,
100,Monday Jul 24,boxscore,WSN,,COL,L,6,10,,41-59,5,24,Kauffmann,Corbin,,2:55,N,17194,0.02,-,
101,Tuesday Jul 25,boxscore,WSN,,COL,W,6,5,,42-59,5,23,Ferrer,Lawrence,Finnegan,2:31,N,18182,0.01,+,
102,Wednesday Jul 26,boxscore,WSN,,COL,W-wo,5,4,,43-59,5,22,Machado,Bard,,2:23,D,16893,0.01,++,
103,Thursday Jul 27,boxscore,WSN,@,NYM,L,1,2,,43-60,5,22.5,Peterson,Thompson,Raley,2:48,N,32834,0.02,-,
104,Friday Jul 28,boxscore,WSN,@,NYM,L,1,5,,43-61,5,23.5,Scherzer,Gore,,2:37,N,25385,0.02,--,
105,Saturday Jul 29,boxscore,WSN,@,NYM,W,11,6,,44-61,5,23.5,Corbin,Carrasco,,3:04,N,30858,0.01,+,
106,Sunday Jul 30,boxscore,WSN,@,NYM,L,2,5,,44-62,5,24.5,Verlander,Williams,Raley,2:33,D,33861,0.01,-,
107,Monday Jul 31,boxscore,WSN,,MIL,W,5,3,,45-62,5,23.5,Weems,Peguero,Finnegan,2:30,N,19290,0.01,+,
108,Tuesday Aug 1,boxscore,WSN,,MIL,L,4,6,,45-63,5,24.5,Peralta,Gray,Williams,2:41,N,19847,0.02,-,
109,Wednesday Aug 2,boxscore,WSN,,MIL,W-wo,3,2,,46-63,5,24.5,Finnegan,Williams,,2:20,D,17312,0.01,+,
110,Friday Aug 4,boxscore,WSN,@,CIN,W,6,3,10,47-63,5,24.5,Machado,Díaz,Finnegan,2:50,N,39284,0.01,++,
111,Saturday Aug 5,boxscore,WSN,@,CIN,W,7,3,,48-63,5,23.5,Adon,Abbott,,2:30,D,41059,0.01,+++,
112,Sunday Aug 6,boxscore,WSN,@,CIN,W,6,3,,49-63,5,22.5,Machado,Richardson,Finnegan,3:07,D,26195,0.03,++++,
113,Tuesday Aug 8 (1),boxscore,WSN,@,PHI,L,4,8,,49-64,5,22.5,Wheeler,Williams,,2:33,N,,0.04,-,2023-08-07 (Rain)
114,Tuesday Aug 8 (2),boxscore,WSN,@,PHI,W,5,4,,50-64,5,22.5,Weems,Kimbrel,Finnegan,3:04,N,40264,0.03,+,
115,Wednesday Aug 9,boxscore,WSN,@,PHI,L,0,7,,50-65,5,23.5,Lorenzen,Gore,,2:09,N,30406,0.04,-,
116,Thursday Aug 10,boxscore,WSN,@,PHI,L,2,6,,50-66,5,23.5,Strahm,Machado,,3:08,N,30113,0.03,--,
117,Friday Aug 11,boxscore,WSN,,OAK,W,8,2,,51-66,5,23.5,Abbott,Blackburn,,2:52,N,22651,0.01,+,
118,Saturday Aug 12,boxscore,WSN,,OAK,W-wo,3,2,,52-66,5,24,Finnegan,Erceg,,2:44,N,28635,0.02,++,
119,Sunday Aug 13,boxscore,WSN,,OAK,W-wo,8,7,,53-66,5,23,La Sorsa,Snead,,3:09,D,19240,0.03,+++,
120,Tuesday Aug 15,boxscore,WSN,,BOS,L,4,5,,53-67,5,24.5,Schreiber,Gray,Jansen,2:57,N,23516,0.03,-,
121,Wednesday Aug 16,boxscore,WSN,,BOS,W,6,2,,54-67,5,24.5,Ferrer,Whitlock,,2:32,N,26507,0.02,+,
122,Thursday Aug 17,boxscore,WSN,,BOS,W,10,7,,55-67,5,24,Corbin,Sale,Finnegan,2:50,D,25445,0.03,++,
123,Friday Aug 18,boxscore,WSN,,PHI,W,8,7,,56-67,5,24,Ferrer,Lorenzen,Finnegan,2:42,N,26747,0.04,+++,
124,Saturday Aug 19,boxscore,WSN,,PHI,L,3,12,,56-68,5,25,Domínguez,Abbott,,2:38,D,38853,0.05,-,
125,Sunday Aug 20,boxscore,WSN,,PHI,W,4,3,,57-68,5,24,Williams,Wheeler,Finnegan,2:26,N,2473,0.03,+,
126,Tuesday Aug 22,boxscore,WSN,@,NYY,W,2,1,,58-68,5,23.5,Thompson,Kahnle,Finnegan,2:30,N,38105,0.04,++,
127,Wednesday Aug 23,boxscore,WSN,@,NYY,L,1,9,,58-69,5,24.5,Severino,Gore,,2:42,N,37266,0.05,-,
128,Thursday Aug 24,boxscore,WSN,@,NYY,W,6,5,,59-69,4,24,Corbin,Kahnle,Finnegan,2:54,D,39681,0.02,+,
129,Friday Aug 25,boxscore,WSN,@,MIA,W,7,4,,60-69,4,24,Adon,Garrett,Harvey,2:50,N,12409,0.03,++,
130,Saturday Aug 26,boxscore,WSN,@,MIA,W,3,2,,61-69,4,24,Weems,Robertson,Finnegan,2:29,D,13966,0.06,+++,
131,Sunday Aug 27,boxscore,WSN,@,MIA,L,1,2,,61-70,4,24,Hoeing,Williams,Scott,2:14,D,17216,0.07,-,
132,Monday Aug 28,boxscore,WSN,@,TOR,L,3,6,,61-71,4,25,Gausman,Gray,Hicks,2:51,N,27940,0.03,--,
133,Tuesday Aug 29,boxscore,WSN,@,TOR,W,5,4,,62-71,4,25,Gore,Berríos,Finnegan,2:55,N,39722,0.02,+,
134,Wednesday Aug 30,boxscore,WSN,@,TOR,L,0,7,,62-72,4,26,Bassitt,Corbin,,2:23,D,39303,0.04,-,
